ID,Name in English,Name in French,Name in Spanish,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment
2098,Ainbai,ainba,ainbai,Papua New Guinea,PNG,aic,Severely endangered
475,Ainu (Hokkaido),aïnou (Hokkaido),ainú (Hokkaido),Japan,JPN,ain,Critically endangered
486,Ainu (Kuril),aïnou (Kouriles),ainú (Islas Kuriles),Russian Federation,RUS,ain,Extinct
494,Ainu (Sakhalin),aïnou (Sakhaline),ainú (Sajalín),Russian Federation,RUS,ain,Extinct
1225,Aiton,aiton,aitón,India,IND,aio,Severely endangered
1968,Aivilingmiutut,aivilingmiut,aivilingmiutut,Canada,CAN,ike,Vulnerable
1688,Aja,aja,aja,Sudan,SDN,aja,Critically endangered
575,Ajuru,ayuru,huayoró,Brazil,BRA,wyr,Severely endangered
2105,Ak,ak,ak,Papua New Guinea,PNG,akq,Severely endangered
1097,Aka,aka,aka,"India, Sudan","IND, SDN",hru,Definitely endangered
1690,Aka,aka,aka,India,IND,soh,Critically endangered
1778,Akatek (Guatemala),acatèque (Guatemala),canjobalés occidental (Guatemala),Guatemala,GTM,knj,Vulnerable
1357,Akatek (Mexico),acatèque (Mexique),canjobalés occidental (México),Mexico,MEX,knj,Vulnerable
1923,Akawaio (Brazil),akawaio (Brésil),akawaio (Brasil),Brazil,BRA,ake,Vulnerable
285,"Akawaio (Guyana, Venezuela)","akawaio (Guyane, République bolivarienne du Venezuela)","akawaio (Guyana, Venezuela)","Guyana, Venezuela (Bolivarian Republic of)","GUY, VEN",ake,Definitely endangered
2220,Akeu,akeu,akeu,"Lao People's Democratic Republic, Myanmar, Thailand","LAO, MMR, THA",aeu,Definitely endangered
1039,Akhvakh,akhvakh,ajvaj,Russian Federation,RUS,akv,Definitely endangered
118,Akie,akie,oquieco,United Republic of Tanzania,TZA,oki,Critically endangered
329,Akkala Saami,saami akkala,saamí de Akkala / lapón de Akkala,Russian Federation,RUS,sia,Extinct
1402,Akum,akum,akum,"Cameroon, Nigeria","CMR, NGA",aku,Critically endangered
567,Akuntsu,akuntsu,akuntsu,Brazil,BRA,,Critically endangered
1993,Akuriyo,akuriyo,akurio,Suriname,SUR,ako,Critically endangered
1761,Akwáwa,akwáwa,assuriní do Tocantins,Brazil,BRA,"mdz, pak, asu",Vulnerable
898,Alabama,alabama,alabama-koasati,United States of America,USA,akz,Definitely endangered
2212,Alabat Island Agta,agta de l'île d'Alabat,agta de la isla Alabat,Philippines,PHL,dul,Critically endangered
1331,Alabugat Tatar,tatar alabugat,alabugat,Russian Federation,RUS,,Definitely endangered
165,Alawa,alawa,alava,Australia,AUS,alh,Critically endangered
1342,Alderney French,auregnais,francés de Alderney,United Kingdom of Great Britain and Northern Ireland,GBR,,Extinct
1011,Alemannic,alémanique,alemánico,"Germany, Austria, France, Italy, Liechtenstein, Switzerland","DEU, AUT, FRA, ITA, LIE, CHE","gsw, swg, wae",Vulnerable
1452,Aleut (Eastern),aleut (oriental),aleutiano (oriental),United States of America,USA,ale,Critically endangered
145,Aleut (Western),aleut (occidental),aleutiano (occidental),United States of America,USA,ale,Severely endangered
163,"Aleut (Western, Commander Islands)","aleut (occidental, îles du Commandeur)","aleutiano (occidental, islas del Comandante)",Russian Federation,RUS,ale,Critically endangered
1343,Algherese Catalan,catalan alguerais,alguerés,Italy,ITA,cat,Definitely endangered
365,Alpine Provençal,provençal alpin,provenzal alpino,"France, Italy","FRA, ITA",oci,Definitely endangered
2327,Alune,alune,alune,Indonesia,IDN,alp,Vulnerable
2443,Aluo,aluo,laka,China,CHN,yna,Definitely endangered
463,Alutor,alutor,aliutor,Russian Federation,RUS,alr,Severely endangered
2328,Amahai,amahai,amahai,Indonesia,IDN,amq,Critically endangered
752,Amahuaca,amahuaca,amahuaca,Peru,PER,amc,Severely endangered
1975,Amami,amani,amami,Japan,JPN,"ams, kzg, ryn, tkn",Definitely endangered
1658,Amanayé,amanayé,amanayé,Brazil,BRA,ama,Extinct
109,Amba,amba,amba,Uganda,UGA,rwm,Vulnerable
2638,Amblong,amblong,amblong,Vanuatu,VUT,alm,Definitely endangered
2030,Amis,amis,ami,China,CHN,ami,Vulnerable
2477,Amok,amok,amok,"China, Lao People's Democratic Republic, Myanmar, Thailand","CHN, LAO, MMR, THA",mqt,Critically endangered
2271,Ampibabo Lauje,ampibabo-lauje,lauje,Indonesia,IDN,law,Vulnerable
1164,Anal,anal,anal,India,IND,anm,Vulnerable
1663,Anambé,anambé,anambé,Brazil,BRA,aan,Critically endangered
1037,Andi,andi,andi,Russian Federation,RUS,ani,Definitely endangered
2272,Andio,andio,andio,Indonesia,IDN,bzb,Vulnerable
756,Andoa (Ecuador),andoa (Équateur),andoa (Ecuador),Ecuador,ECU,anb,Extinct
729,Andoa (Peru),andoa (Pérou),andoa (Perú),Peru,PER,anb,Critically endangered
568,Andoke,"andoque, 'Gens de la Hache'",andoque,Colombia,COL,ano,Severely endangered
513,Andro,andro,andro,India,IND,,Extinct
86,Anfillo,anfillo,anfillo,Ethiopia,ETH,myo,Critically endangered
1140,Angami,angami,angami,India,IND,njm,Vulnerable
1202,Angika,angika,anga,"India, Nepal","IND, NPL",anp,Vulnerable
2478,Angku,angku,angku,Myanmar,MMR,,Critically endangered
18,Animere,animere,animere,Ghana,GHA,anf,Critically endangered
166,Anindilyakwa,anindilyakwa,anindilyakwa,Australia,AUS,aoi,Vulnerable
167,Antakirinya,antakirinya,antakariña,Australia,AUS,ant,Definitely endangered
838,Antoniano,antoniano,antoniano,United States of America,USA,sln,Extinct
685,Añu,anun,paraujano,Venezuela (Bolivarian Republic of),VEN,pbg,Critically endangered
2656,Anuki,anuki,anuki,Papua New Guinea,PNG,aui,Definitely endangered
2429,Anung (China),anong (Chine),anung (China),China,CHN,nun,Critically endangered
2218,Anung (Myanmar),anong (Myanmar),anung (Myanmar),Myanmar,MMR,nun,Severely endangered
1886,Anus,anus,sobei,Indonesia,IDN,auq,Severely endangered
1130,Ao,ao,ao,India,IND,ngo,Vulnerable
2141,Aore,aore,aore,Vanuatu,VUT,aor,Extinct
761,Apalai,apalai,aparaí,Brazil,BRA,apy,Vulnerable
938,Apatani,apatani,apatani,India,IND,apt,Vulnerable
1507,Apiaká,apiaká,apiaká,Brazil,BRA,api,Critically endangered
1955,Apinajé,apinajé,apinayé,Brazil,BRA,apn,Vulnerable
569,Apolista,apolista,apolista,Bolivia (Plurinational State of),BOL,,Extinct
1936,Apurinã,apurinã,apurinã,Brazil,BRA,apu,Definitely endangered
2329,Aputai,aputai,aputai,Indonesia,IDN,apx,Critically endangered
2417,Aqaw Gelao,gelao aqaw,aqao,China,CHN,gio,Critically endangered
2071,Arabana,arabana,arabana,Australia,AUS,ard,Critically endangered
570,Arabela,arabela,arabela,Peru,PER,arl,Severely endangered
330,Aragonese,aragonais,aragonés,Spain,ESP,arg,Definitely endangered
2515,Araki,araki,araki,Vanuatu,VUT,akr,Critically endangered
1928,Araona,araona,araona,Bolivia (Plurinational State of),BOL,aro,Severely endangered
1454,Arapaho (Oklahoma),arapaho (Oklahoma),arapaho (Oklahoma),United States of America,USA,arp,Extinct
1455,Arapaho (Wyoming),arapaho (Wyoming),arapaho (Wyoming),United States of America,USA,arp,Severely endangered
1629,Arapáso,arapáso,arapaso,Brazil,BRA,arj,Extinct
1665,Arara do Pará,arara du Pará,arára de Pará,Brazil,BRA,aap,Vulnerable
995,Arára Shawãdáwa,arara-shawanawa,catuquina,Brazil,BRA,knt,Critically endangered
1760,Araweté,araweté,araweté,Brazil,BRA,awt,Vulnerable
2101,Arawun,arawum,arawum,Papua New Guinea,PNG,awm,Severely endangered
1514,Arbanasi,arbanasi,arbanasi,Croatia,HRV,,Severely endangered
1347,Arbëresh,arbërerisht,arberés,Italy,ITA,aae,Definitely endangered
1673,Arbore,arbore,arbore,Ethiopia,ETH,arv,Definitely endangered
1038,Archi,archi,archi,Russian Federation,RUS,aqc,Definitely endangered
514,Arem,arem,aremo,"Lao People's Democratic Republic, Viet Nam","LAO, VNM",aem,Severely endangered
88,Argobba,argobba,argobba,Ethiopia,ETH,agj,Critically endangered
1887,Arguni,arguni,arguni,Indonesia,IDN,agf,Vulnerable
2159,Arha,arha,ara,New Caledonia (France),NCL,aqr,Critically endangered
2160,Arho,arho,aro,New Caledonia (France),NCL,aok,Critically endangered
2099,Ari,ari,ari,Papua New Guinea,PNG,aac,Severely endangered
2658,Aribwatsa,aribwatsa,aribuacha,Papua New Guinea,PNG,laz,Extinct
571,Arikapu,arikapu,arikapú,Brazil,BRA,ark,Critically endangered
891,Arikara,arikara,arikara,United States of America,USA,ari,Critically endangered
1611,Arin,,,Russian Federation,RUS,,Extinct
465,Arman,arman,arman,Russian Federation,RUS,eve,Extinct
331,Aromanian,aroumain,arrumano,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","ALB, BGR, GRC, MKD, SRB",rup,Definitely endangered
168,Arrernte,arrernte,aranda,Australia,AUS,"aer, are",Vulnerable
2170,Arta,arta,arta,Philippines,PHL,atz,Extinct
572,Aruá,aruá,aruá,Brazil,BRA,arx,Severely endangered
286,Aruaco,aruaco,aruaco,Colombia,COL,arh,Vulnerable
1352,Arvanitika,arvanitika,arvanitika,Greece,GRC,aat,Severely endangered
1888,As,as,as,Indonesia,IDN,asz,Vulnerable
1785,Ashaninka (Brazil),ashaninca (Brésil),ashéninca,Brazil,BRA,"cjo, cni, cpb, cpc, cpu, cpy, prq",Vulnerable
741,Ashaninka (Peru),ashaninka (Pérou),asháninca,Peru,PER,"cjo, cni, cpb, cpc, cpu, cpy, prq",Vulnerable
281,Ashkun,ashkun,askún,Afghanistan,AFG,ask,Definitely endangered
1779,Ashtiani,ashtiani,astianí,Iran (Islamic Republic of),IRN,atn,Definitely endangered
1969,Assiniboine (Canada),assiniboine (Canada),asinibóin (Canadá),Canada,CAN,asb,Critically endangered
1547,Assiniboine (United States of America),assiniboine (États-Unis d'Amérique),asinibóin (Estados Unidos),United States of America,USA,asb,Critically endangered
332,Asturian-Leonese,asturien-léonais,astur-leonés,"Spain, Portugal","ESP, PRT","ast, ext, mwl",Definitely endangered
2136,Asumboa,asumboa,asumbuo,Solomon Islands,SLB,aua,Severely endangered
1217,Asur,asuri,asuri,India,IND,asr,Definitely endangered
1762,Asurini do Xingu,asuriní du Xingu,assuriní do Xingú,Brazil,BRA,asn,Vulnerable
2167,Ata,ata,ata,Philippines,PHL,atm,Extinct
573,Atacameño,acatameño,kunza,"Argentina, Bolivia (Plurinational State of), Chile","ARG, BOL, CHL",kuz,Extinct
2659,Atemble,atemble,atemble,Papua New Guinea,PNG,ate,Definitely endangered
961,Athpahariya,athpahariya,atpariya,Nepal,NPL,aph,Definitely endangered
1545,Atikamekw,atikamekw,atikamek,Canada,CAN,atj,Vulnerable
830,Atsugewi,atsugewi,atsugewi,United States of America,USA,atw,Extinct
1708,Aurê-Aurá,aurê-aurá,aurá,Brazil,BRA,aux,Critically endangered
708,Austral dialects,dialectes des Iles Australes,dialectos de las islas Australes,French Polynesia (France),PYF,aut,Definitely endangered
333,Auvergnat,auvergnat,auvernés,France,FRA,oci,Severely endangered
2488,Auye,auye,auye,Indonesia,IDN,auu,Vulnerable
1957,Ava-Canoeiro,avá-canoeiro,avá-canoeiro,Brazil,BRA,avv,Critically endangered
1905,Ava-Guaraní,ava-guarani,avá-guaraní,Argentina,ARG,gui,Definitely endangered
1069,Avar,avar,avar,Russian Federation,RUS,ava,Vulnerable
2142,Aveteian,aveteian,aveteian,Vanuatu,VUT,,Critically endangered
593,Awa Cuaiquer,awa-cuaiquer,cuaiquer,Colombia,COL,kwi,Critically endangered
734,Awajun,awajun,aguaruna,Peru,PER,agr,Vulnerable
1780,Awakatek (Guatemala),awacatèque (Guatemala),aguacateco (Guatemala),Guatemala,GTM,,Vulnerable
1370,Awakatek (Mexico),awacatèque (Mexique),aguacateco (México),Mexico,MEX,,Critically endangered
1261,Awapit,awapit,awap'it,Ecuador,ECU,kwi,Severely endangered
2518,Awera,awera,awera,Indonesia,IDN,awr,Vulnerable
574,Aweti,aweti,awetí,Brazil,BRA,awe,Vulnerable
5,Awjila,awjila,auyila,Libyan Arab Jamahiriya,LBY,auj,Severely endangered
2519,Awyi,awyi,aviú,Indonesia,IDN,auw,Vulnerable
913,Ayapanec,ayapanec,ayapaneco,Mexico,MEX,,Critically endangered
1285,Ayautla Mazatec,mazatèque d'Ayautla,mazateco de Ayautla,Mexico,MEX,vmy,Vulnerable
515,Ayizi,ayizi,ayizi,China,CHN,yyz,Critically endangered
755,Aymara,aymara,aymara,"Bolivia (Plurinational State of), Chile, Peru","BOL, CHL, PER","ayc, ayr",Vulnerable
1926,Ayoreo,ayoreo,ayoreo,Bolivia (Plurinational State of),BOL,ayo,Definitely endangered
2042,Babuza,babuza,babuza,China,CHN,bzg,Extinct
1569,Badaga,badaga,badaga,India,IND,bfq,Definitely endangered
170,Badala,badala,badala,Australia,AUS,,Critically endangered
1380,Bade,bade,badé,Nigeria,NGA,bde,Vulnerable
1309,Badiaranke,badiaranké,badiara / badyara,Guinea,GIN,pbp,Severely endangered
12,Baga Kalem,baga kaloum,baga kalem,Guinea,GIN,,Extinct
1313,Baga Manduri,baga manduri,baga maduri,Guinea,GIN,bmb,Definitely endangered
9,Baga Mboteni,baga mboteni,baga emboteni,Guinea,GIN,bgm,Critically endangered
13,Baga Sitemu,baga sitemou,baga sitemu,Guinea,GIN,bsp,Severely endangered
1551,Baghati,baghati,baghati,India,IND,bfz,Critically endangered
2660,Bagupi,bagupi,bagupi,Papua New Guinea,PNG,bpi,Definitely endangered
1040,Bagvalal,bagvalal,bagvalal,Russian Federation,RUS,kva,Definitely endangered
2249,Baheng (China),baheng (Chine),baheng (China),China,CHN,pha,Vulnerable
2248,Baheng (Viet Nam),baheng (Viet Nam),baheng (Vietnam),Viet Nam,VNM,pha,Vulnerable
963,Bahing,bahing,bahing,Nepal,NPL,bhj,Definitely endangered
2273,Bahonsuai,bahonsuai,bahonsuái,Indonesia,IDN,bsu,Definitely endangered
1691,Bai,bai,bai,Sudan,SDN,bdj,Definitely endangered
2430,Baima,baima,baima,China,CHN,bqh,Vulnerable
1301,Bainouk-Gunyaamolo,bainouk-gunyaamolo,bainuko-gunyaamolo,Senegal,SEN,bcz,Vulnerable
1467,Bainouk-Samik,bainouk-samik,bainuko-samik,Senegal,SEN,bcb,Severely endangered
1781,Bakairi,bakairi,bakairí,Brazil,BRA,bkq,Vulnerable
2639,Baki,baki,baki,Vanuatu,VUT,bki,Vulnerable
1417,Bakole,bakole,bakole,Cameroon,CMR,kme,Critically endangered
1393,Bakpinka,bakpinka,bakpinka,Nigeria,NGA,bbs,Critically endangered
44,Baldemu,baldamou,baldamu,Cameroon,CMR,bdn,Critically endangered
2274,Baleasang,baleasang,balaesano,Indonesia,IDN,bls,Definitely endangered
2714,Balti,balti,balti,"India, Pakistan","IND, PAK",bft,Vulnerable
1671,Bambassi,bambassi,bambeshi,Ethiopia,ETH,myf,Definitely endangered
516,Bana,bana,bana,Lao People's Democratic Republic,LAO,phq,Severely endangered
1513,Banat Bulgarian,bulgare de Banat,búlgaro del Bánato,"Romania, Serbia","ROU, SRB",bul,Definitely endangered
1766,Banawá Yafi,banawá yafi,banahuá,Brazil,BRA,jaa,Vulnerable
1303,Bandial,bandial,bandal,Senegal,SEN,bqj,Vulnerable
1606,Bangani,bangani,bangani,India,IND,gbm,Critically endangered
978,Bangni,bangni,bangni,India,IND,,Vulnerable
2143,Bangsa,bangsa,Bangsa,Vanuatu,VUT,,Critically endangered
681,Baniva,baniva,baniva,Venezuela (Bolivarian Republic of),VEN,bvv,Severely endangered
1767,Baníwa do Içana,baniwa de l'Içana,baniwa,"Brazil, Colombia, Venezuela (Bolivarian Republic of)","BRA, COL, VEN",bwi,Vulnerable
230,Banjima,banjima,panchima,Australia,AUS,pnw,Severely endangered
1477,Banka,banka,banka,Mali,MLI,bxw,Definitely endangered
964,Bantawa,bantawa,bantawa,Nepal,NPL,bap,Vulnerable
1769,Bara (Brazil),bará (Brésil),bará (Brasil),Brazil,BRA,"pok, bao",Vulnerable
1997,Bara (Colombia),bará (Colombie),bará (Colombia),Colombia,COL,"pok, bao",Critically endangered
1334,Baraba Tatar,tatar baraba,tártaro de Baraba,Russian Federation,RUS,,Severely endangered
430,Barām,barām,baraamu / baramú,Nepal,NPL,brd,Critically endangered
2275,Baras,baras,baras,Indonesia,IDN,brs,Severely endangered
576,Barasana (Brazil),barasana (Brésil),barasana (Brasil),Brazil,BRA,bsn,Severely endangered
1999,Barasana (Colombia),barasana (Colombie),barasana (Colombia),Colombia,COL,bsn,Critically endangered
855,Barbareño,barbareño,barbareño,United States of America,USA,boi,Extinct
169,Bardi,bardi,bardi,Australia,AUS,bcj,Severely endangered
287,Baré (Brazil),baré (Brésil),baré (Brasil),Brazil,BRA,"bae, mht",Critically endangered
1961,Baré (Venezuela),baré (République bolivarienne du Venezuela),baré (Venezuela),Venezuela (Bolivarian Republic of),VEN,"bae, mht",Critically endangered
288,Barí,barí,motilón,Colombia,COL,mot,Vulnerable
1435,Bartangi,bartangi,bartangí,Tajikistan,TJK,sgh,Severely endangered
2205,Barzani Jewish Neo-Aramaic (Iraq),judéo-araméen barszani (Iraq),neo-arameo judío barzani (Iraq),Iraq,IRQ,bjf,Extinct
2176,Barzani Jewish Neo-Aramaic (Israel),judéo-araméen barszani (Israël),neo-arameo judío barzani (Israel),Israel,ISR,bjf,Critically endangered
2048,Basay,basay,basay,China,CHN,byq,Extinct
2301,Bashkardi,bashkardi,baskardí,Iran (Islamic Republic of),IRN,bsg,Definitely endangered
1848,Bashkarik,bashkarik,bascarí,Pakistan,PAK,"gwc, xka",Definitely endangered
334,Bashkir,bachkir,baskir,Russian Federation,RUS,bak,Vulnerable
415,Basque,basque,euskera,"Spain, France","ESP, FRA",eus,Vulnerable
1310,Bassari,bassari,basarí,Senegal,SEN,bsc,Vulnerable
2169,Bataan Ayta,ayta du Bataan,ayta de Bataan,Philippines,PHL,ayt,Definitely endangered
2166,Batak,batak,bataco,Philippines,PHL,bya,Definitely endangered
2288,Batek,batek,batek,Malaysia,MYS,btq,Critically endangered
1844,Bateri,bateri,bateri,Pakistan,PAK,btv,Definitely endangered
2088,Bathari,bathari,batarí,Oman,OMN,bhm,Critically endangered
33,Bati,bati,bati,Cameroon,CMR,btc,Severely endangered
1041,Bats,bats,bácico,Georgia,GEO,bbl,Severely endangered
1919,Baure,bauré,bauré,Bolivia (Plurinational State of),BOL,brg,Critically endangered
1019,Bavarian,bavarois,bávaro,"Germany, Austria, Hungary, Italy, Switzerland, Czech Republic","DEU, AUT, HUN, ITA, CHE, CZE",bar,Vulnerable
1190,Bawm,bawm,chin bom,"Bangladesh, India","BGD, IND",bgr,Definitely endangered
2087,Bay Islands Creole,créole des Iles-de-la-Baie (Islas de la Bahía),criollo de las Islas de la Bahía,Honduras,HND,,Critically endangered
1692,Baygo,baygo,baygo,Sudan,SDN,byg,Extinct
1307,Bayot,bayotte,bayot,Senegal,SEN,bda,Vulnerable
81,Bayso,bayso,bayso,Ethiopia,ETH,bsw,Definitely endangered
1546,Beaver,beaver,castor,Canada,CAN,bea,Definitely endangered
2520,Bedoanas,bedoanas,bedoanas,Indonesia,IDN,bed,Vulnerable
113,Beeke,beeke,beeke,Democratic Republic of the Congo,ZAI,bkf,Severely endangered
1403,Beezen,beezen,beezen,Cameroon,CMR,bnz,Severely endangered
1693,Belanda Bor,belanda bor,belanda bor,Sudan,SDN,bxb,Definitely endangered
335,Belarusian,biélorusse,bielorruso,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BRB, LVA, LTU, POL, RUS, UKR",bel,Vulnerable
1694,Beli,beli,beli,Sudan,SDN,blm,Definitely endangered
1525,Bella Coola,bella coola,bilcula,Canada,CAN,blc,Critically endangered
1581,Bellari,bellari,belarí,India,IND,brw,Critically endangered
1743,Benga,benga,benga,"Gabon, Equatorial Guinea","GAB, GNQ",bng,Definitely endangered
2330,Benggoi,benggoi,benggoi,Indonesia,IDN,bgy,Definitely endangered
2107,Bepour,bepour,bepour,Papua New Guinea,PNG,bie,Severely endangered
1653,Berakou,berakou,babalia,Chad,TCD,bxv,Extinct
2062,Berbice Dutch Creole,créole néerlandais de Berbice,berbice,Guyana,GUY,brc,Critically endangered
1695,Berti,berti,berti,Sudan,SDN,byt,Extinct
1634,Besme,besme,besme,Chad,TCD,bes,Severely endangered
2276,Besoa,behoa,bada,Indonesia,IDN,bep,Vulnerable
1042,Bezhta,bezhta,bejila,Russian Federation,RUS,kap,Definitely endangered
1567,Bhadravahi,bhadravahi,bhadri,"India, Pakistan","IND, PAK",bhd,Definitely endangered
1607,Bhalesi,bhalesi,bhalesi,India,IND,bhd,Definitely endangered
1552,Bharmauri,bharmauri,gaddi,India,IND,gbk,Definitely endangered
1213,Bhumji,bhumji,bhumji,India,IND,bij,Vulnerable
2525,Biak,biak,biaco,Indonesia,IDN,bhw,Vulnerable
2640,Bierebo,bierebo,bierebo,Vanuatu,VUT,bnk,Vulnerable
2140,Bieria,bieria,bieria,Vanuatu,VUT,brj,Critically endangered
1187,Biete,biete,biete,India,IND,biu,Definitely endangered
2096,Bikaru,bikaru,bikaru,Papua New Guinea,PNG,bic,Severely endangered
1398,Bikya,bikya,bikya,Cameroon,CMR,byb,Critically endangered
2097,Bilakura,bilakura,bilakura,Papua New Guinea,PNG,bql,Critically endangered
2661,Bina,bina,bina,Papua New Guinea,PNG,bmn,Extinct
53,Birgid,birgid,birked,Sudan,SDN,brk,Extinct
1214,Birhor,birhor,birhor,India,IND,biy,Critically endangered
51,Birri,birri,birri,Central African Republic,CAF,bvq,Critically endangered
1568,Bishnupriya Manipuri Creole,créole bishnupriya manipuri,manipurí,"Bangladesh, India","BGD, IND",bpy,Vulnerable
1399,Bishuo,bishuo,bishuo,Cameroon,CMR,bwh,Critically endangered
517,Bisu,bisu,bisú,"Myanmar, Thailand","MMR, THA",bzi,Definitely endangered
2628,Blablanga,blablanga,blablanga,Solomon Islands,SLB,blp,Definitely endangered
965,Black Mountain,olekha,monpa,Bhutan,BTN,ole,Definitely endangered
1244,Blackfoot (Canada),pied-noir (Canada),pies negros (Canadá),Canada,CAN,bla,Definitely endangered
1453,Blackfoot (United States of America),pied-noir (États-Unis d'Amérique),pies negros (Estados Unidos),United States of America,USA,bla,Definitely endangered
2277,Boano,boano,boano,Indonesia,IDN,bzl,Vulnerable
1229,Bodo,bodo,bodo,India,IND,brx,Vulnerable
64,Boguru,boguru,boguru,"Democratic Republic of the Congo, Sudan","ZAI, SDN",bqu,Critically endangered
1612,Bohtan Neo-Aramaic,néo-araméen du Bhotan,neo-arameo de Bohtan,"Georgia, Russian Federation","GEO, RUS",bhn,Severely endangered
983,Bokar,bokar,bokar,"China, India","CHN, IND",adi,Vulnerable
2441,Bola,bola,bela,China,CHN,bxd,Definitely endangered
127,Bolo,bolo,bolo,Angola,ANG,blv,Definitely endangered
1315,Bom,bom,bom,Sierra Leone,SLE,bmf,Severely endangered
1425,Bonan,bonan,bonan,China,CHN,peh,Definitely endangered
2521,Bonerif,bonerif,bonerif,Indonesia,IDN,bnv,Critically endangered
95,Bong'om,bong'om,bong'om,Kenya,KEN,spy,Definitely endangered
2522,Bonggo,bonggo,bonggo,Indonesia,IDN,bpg,Severely endangered
55,Bongo,bongo,bongo,Sudan,SDN,bot,Definitely endangered
99,Boni,boni,boni,Kenya,KEN,bob,Definitely endangered
1664,Bonjo,bonjo,bonjo,Congo,COG,bok,Severely endangered
1638,Boor,boor,boor,Chad,TCD,bvf,Critically endangered
736,Bora,bora,bora,"Colombia, Peru","COL, PER",boa,Vulnerable
984,Bori,bori,bori,"China, India","CHN, IND",adi,Definitely endangered
1680,Boro,boro,boro,,,bwo,Definitely endangered
17,Boro,boro,karaboro,"Ethiopia, Togo","ETH, TGO",,Extinct
1805,Bororo,bororo,borôro,Brazil,BRA,bor,Definitely endangered
1873,Boruca,boruca,borunca,Costa Rica,CRI,,Critically endangered
2662,Bosilewa,bosilewa,bosilewa,Papua New Guinea,PNG,bwf,Vulnerable
2663,Bothar,bothar,bothar,Papua New Guinea,PNG,bow,Severely endangered
1044,Botlikh,botlikh,botlij,Russian Federation,RUS,bph,Definitely endangered
2485,Brahui,brahui,birahuí,"Iran (Islamic Republic of), Pakistan, Afghanistan","IRN, PAK, AFG",brh,Vulnerable
2465,Brao,brao,brao,"Cambodia, Lao People's Democratic Republic, Viet Nam","KHM, LAO, VNM",,Severely endangered
336,Breton,breton,bretón,France,FRA,bre,Severely endangered
1871,Bribri (Costa Rica),bribri (Costa Rica),talamanca (Costa Rica),Costa Rica,CRI,bzd,Vulnerable
1903,Bribri (Panama),bribri (Panama),talamanca (Panamá),Panama,PAN,bzd,Severely endangered
592,Brokkat,brokkat,brokkat,Bhutan,BTN,bro,Definitely endangered
444,Brokpa,brokpa,sagtenpa,Bhutan,BTN,sgt,Definitely endangered
2484,Brokshat,brokpa,broskatí,India,IND,bkk,Definitely endangered
1990,Bru,bru,bru,Thailand,THA,brv,Definitely endangered
