index	longitude	latitude	language_diversity	mgs	land_coverage	weighted_endemism	ID_ISO_A2	LANG_ISO	new.mgs
26	26	5510314.79426705	5796538.7487921	9	5	0.62	3.62037037037037	rus-ru kpv-ru yrk-ru tat-ru udm-ru mhr-ru chv-ru koi-ru mrj-ru	rus kpv yrk tat udm mhr chv koi mrj	138
27	27	6512190.21140651	5796538.7487921	9	4	0.7	2.7037037037037	rus-ru kpv-ru kca-ru yrk-ru bak-ru udm-ru mhr-ru koi-ru mns-ru	rus kpv kca yrk bak udm mhr koi mns	124
28	28	7514065.62854597	5796538.7487921	4	4	0.72	1.28703703703704	rus-ru kpv-ru kca-ru yrk-ru mns-ru	rus kpv kca yrk mns	117
29	29	8515941.04568544	5796538.7487921	4	4	0.7	1.2037037037037	rus-ru kca-ru yrk-ru sel-ru nio-ru	rus kca yrk sel nio	113
30	30	9517816.4628249	5796538.7487921	12	3	0.8	5.78703703703704	rus-ru evn-ru kca-ru yrk-ru dlg-ru sel-ru kjh-ru nio-ru ket-ru enh-ru enf-ru yuu-ru	rus evn kca yrk dlg sel kjh nio ket enh enf yuu	110
31	31	10519691.8799644	5796538.7487921	5	3	0.96	0.87037037037037	rus-ru evn-ru dlg-ru kjh-ru nio-ru	rus evn dlg kjh nio	89
32	32	11521567.2971038	5796538.7487921	4	3	0.9	0.62037037037037	rus-ru evn-ru dlg-ru nio-ru	rus evn dlg nio	94
33	33	12523442.7142433	5796538.7487921	3	3	0.87	0.537037037037037	rus-ru sah-ru evn-ru dlg-ru	rus sah evn dlg	100
34	34	13525318.1313827	5796538.7487921	3	3	0.8	0.287037037037037	rus-ru sah-ru evn-ru	rus sah evn	111
35	35	14527193.5485222	5796538.7487921	4	3	0.73	0.5	sah-ru evn-ru eve-ru	sah evn eve	108
36	36	15529068.9656617	5796538.7487921	3	3	0.73	0.537037037037037	rus-ru sah-ru evn-ru eve-ru	rus sah evn eve	90
37	37	16530944.3828011	5796538.7487921	4	3	0.54	0.953703703703704	rus-ru sah-ru eve-ru ykg-ru	rus sah eve ykg	94
38	38	17532819.7999406	5796538.7487921	10	3	0.53	3.57037037037037	rus-ru sah-ru evn-ru ckt-ru eve-ru kpy-ru ykg-ru itl-ru alr-ru yux-ru	rus sah evn ckt eve kpy ykg itl alr yux	97
39	39	18534695.2170801	5796538.7487921	3	3	0.48	1.03333333333333	ckt-ru kpy-ru alr-ru	ckt kpy alr	90
40	40	19536570.6342195	5796538.7487921	2	2	0.35	0.533333333333333	ckt-ru kpy-ru	ckt kpy	84
41	41	-19536570.6342195	4740749.37376003	2	4	0.01	0.25	ale-us	ale	152
42	42	-18534695.21708	4740749.37376003	1	4	0.02	0.25	ale-us	ale	141
43	43	-17532819.7999406	4740749.37376003	1	4	0.01	0	NA	NA	142
44	44	-16530944.3828011	4740749.37376003	0	NA	0	0	NA	NA	NA
45	45	-15529068.9656617	4740749.37376003	0	6	0	0	NA	NA	NA
46	46	-14527193.5485222	4740749.37376003	14	6	0.15	11.5833333333333	eng-ca tsi-us hdn-us bcr-ca tsi-ca noo-ca ncg-ca kwk-ca git-ca hei-ca hdn-ca blc-ca has-ca hax-ca	eng tsi hdn bcr tsi noo ncg kwk git hei hdn blc has hax	178
47	47	-13525318.1313827	4740749.37376003	44	5	0.87	36.1183473389356	eng-us eng-ca crk-ca ojw-ca pao-us yak-us oka-us tqn-us col-us bea-ca fla-us crx-ca oka-ca bcr-ca shs-ca sek-ca clc-ca spo-us hur-ca uma-us caf-ca coo-ca wac-us noo-ca thp-ca slh-us waa-us clm-us kwk-ca lil-ca kla-us ctc-us tol-us sno-us kyl-us str-us str-ca qui-us kyh-us ska-us csz-us lut-us squ-ca sec-ca	eng eng crk ojw pao yak oka tqn col bea fla crx oka bcr shs sek clc spo hur uma caf coo wac noo thp slh waa clm kwk lil kla ctc tol sno kyl str str qui kyh ska csz lut squ sec	123
48	48	-12523442.7142433	4740749.37376003	24	5	1	14.5183473389356	eng-us eng-ca crk-ca cro-us ojw-ca shh-us bla-us bla-ca pao-us arp-us chp-ca kut-us nez-us asb-us fla-us cwd-ca crd-us crk-us sto-ca asb-ca shs-ca ats-us kut-ca srs-ca	eng eng crk cro ojw shh bla bla pao arp chp kut nez asb fla cwd crd crk sto asb shs ats kut srs	86
49	49	-11521567.2971038	4740749.37376003	19	6	1	10.9683473389356	eng-us eng-ca lkt-us dak-us ciw-us crk-ca cro-us ojw-ca chp-ca csw-ca asb-us chy-us cwd-ca dak-ca asb-ca ari-us hid-us lkt-ca crg-us mhq-us	eng eng lkt dak ciw crk cro ojw chp csw asb chy cwd dak asb ari hid lkt crg mhq	89
50	50	-10519691.8799644	4740749.37376003	14	6	1	5.26834733893557	eng-us eng-ca dak-us ciw-us crk-ca ojw-ca csw-ca ojb-ca ojs-ca cwd-ca dak-ca oma-us win-us sac-us	eng eng dak ciw crk ojw csw ojb ojs cwd dak oma win sac	158
51	51	-9517816.46282489	4740749.37376003	16	5	0.97	8.42549019607843	eng-us eng-ca fra-ca ciw-us csw-ca ojb-ca ojc-ca ojs-ca otw-ca pot-us otw-us mez-us one-us one-ca pot-ca umu-ca	eng eng fra ciw csw ojb ojc ojs otw pot otw mez one one pot umu	163
52	52	-8515941.04568543	4740749.37376003	26	5	0.93	19.4254901960784	eng-us eng-ca fra-ca ike-ca ojc-ca moe-ca alq-ca otw-ca crj-ca moh-ca atj-ca crl-ca crm-ca see-us ojg-ca one-us one-ca abe-ca cay-us tus-ca ono-ca see-ca cay-ca moh-us ono-us tus-us	eng eng fra ike ojc moe alq otw crj moh atj crl crm see ojg one one abe cay tus ono see cay moh ono tus	163
53	53	-7514065.62854596	4740749.37376003	9	5	0.75	4.72549019607843	eng-us eng-ca fra-ca mic-ca moe-ca pqm-us pqm-ca nsk-ca mic-us	eng eng fra mic moe pqm pqm nsk mic	136
54	54	-6512190.2114065	4740749.37376003	7	4	0.33	2.86666666666667	eng-ca fra-ca ike-ca mic-ca moe-ca fra-pm nsk-ca	eng fra ike mic moe fra nsk	124
55	55	-5510314.79426704	4740749.37376003	0	4	0.01	0	NA	NA	175
56	56	-4508439.37712758	4740749.37376003	0	NA	0	0	NA	NA	NA
57	57	-3506563.95998811	4740749.37376003	0	12	0	0	NA	NA	NA
58	58	-2504688.54284865	4740749.37376003	0	12	0	0	NA	NA	NA
59	59	-1502813.12570919	4740749.37376003	4	12	0.02	1.5	eng-ie glg-es gle-ie	eng glg gle	365
60	60	-500937.708569728	4740749.37376003	23	9	0.44	15.5666666666667	fra-fr spa-es eng-gb oci-fr sco-gb por-pt eng-ie glg-es gla-gb ast-es cym-gb eus-es bre-fr arg-es gle-ie glg-pt eus-fr mwl-pt eng-im fra-JE eng-je eng-gg fra-gg	fra spa eng oci sco por eng glg gla ast cym eus bre arg gle glg eus mwl eng fra eng eng fra	263
61	61	500937.708569735	4740749.37376003	62	9	0.69	50.95	fra-fr spa-es deu-de eng-gb ita-it oci-fr dan-dk cat-es nld-nl frp-fr pcd-fr lmo-it gsw-ch fra-be wln-be nld-be gsw-fr fra-ch frp-ch cos-fr oci-it arg-es lij-it roh-ch lmo-ch ita-ch vls-be fry-nl cat-fr pcd-be gos-nl frp-it drt-nl ltz-lu deu-lu fra-lu lim-be sdz-nl wae-ch twd-nl zea-nl act-nl deu-be vel-nl lim-nl vls-fr dan-de vls-nl ltz-fr lij-fr frr-de stl-nl oci-es cat-ad spa-ad fra-ad deu-dk ltz-be ltz-de frs-de wae-it fra-mc	fra spa deu eng ita oci dan cat nld frp pcd lmo gsw fra wln nld gsw fra frp cos oci arg lij roh lmo ita vls fry cat pcd gos frp drt ltz deu fra lim sdz wae twd zea act deu vel lim vls dan vls ltz lij frr stl oci cat spa fra deu ltz ltz frs wae fra	236
62	62	1502813.1257092	4740749.37376003	46	7	0.8	32.9166666666667	swe-se fra-fr deu-de pol-pl ita-it hun-hu deu-at ces-cz hrv-hr dan-dk bos-ba slk-sk lmo-it gsw-ch eml-it slv-si vec-it cos-fr deu-it lij-it fur-it roh-ch lmo-ch ita-ch hun-sk wae-ch slv-it hsb-de deu-hu deu-cz hun-at dan-de swe-dk hrv-at aae-it deu-dk slv-at ces-at lld-it slv-hu ita-si hrv-it dsb-de gsw-li wae-li ita-sm	swe fra deu pol ita hun deu ces hrv dan bos slk lmo gsw eml slv vec cos deu lij fur roh lmo ita hun wae slv hsb deu deu hun dan swe hrv aae deu slv ces lld slv ita hrv dsb gsw wae ita	215
63	63	2504688.54284866	4740749.37376003	52	7	0.95	39.2833333333333	ukr-ua tur-tr pol-pl ron-ro bel-by ell-gr bul-bg hun-hu ces-cz srp-rs lit-lt lav-lv hrv-hr bos-ba slk-sk ron-md mkd-mk hun-ro srp-me aln-al rue-ua aln-xk ron-ua tur-bg aln-mk hun-sk hun-rs srp-xk hun-ua srp-mk deu-hu bul-rs mkd-bg deu-ro tur-mk ukr-sk pol-ua ukr-pl csb-pl rmc-ua rmn-bg pol-cz aln-rs slk-hu pol-sk ukr-ro rue-sk rmn-hu slk-rs kdr-lt rmy-ba bul-tr rmc-sk	ukr tur pol ron bel ell bul hun ces srp lit lav hrv bos slk ron mkd hun srp aln rue aln ron tur aln hun hun srp hun srp deu bul mkd deu tur ukr pol ukr csb rmc rmn pol aln slk pol ukr rue rmn slk kdr rmy bul rmc	206
64	64	3506563.95998812	4740749.37376003	16	7	0.73	9.48703703703704	rus-ru ukr-ua tur-tr ron-ro bel-by rus-ua bul-bg lav-lv ron-md ron-ua tur-bg gag-md gag-bg bul-md rmn-bg crh-bg crh-ro	rus ukr tur ron bel rus bul lav ron ron tur gag gag bul rmn crh crh	182
65	65	4508439.37712758	4740749.37376003	20	7	0.87	13.9537037037037	rus-ru ukr-ua rus-ua xal-ru kat-ge che-ru krc-ru mdf-ru myv-ru inh-ru ady-ru xmf-ge kbd-ru oss-ge abk-ge sva-ge lzz-ge abq-ru ell-ua uum-ua	rus ukr rus xal kat che krc mdf myv inh ady xmf kbd oss abk sva lzz abq ell uum	124
66	66	5510314.79426705	4740749.37376003	42	2	0.82	30.7703703703704	rus-ru kaz-kz rus-kz bak-ru tat-ru azj-az xal-ru kat-ge udm-ru mhr-ru chv-ru che-ru mdf-ru ava-ru myv-ru inh-ru dar-ru lez-ru lbe-ru kum-ru nog-ru lez-az rut-ru agx-ru tab-ru tkr-ru ava-az ddo-ru akv-ru tkr-az kva-ru cji-ru kpt-ru ani-ru bbl-ge huz-ru kap-ru tin-ru khv-ru aqc-ru gin-ru gdo-ru bph-ru	rus kaz rus bak tat azj xal kat udm mhr chv che mdf ava myv inh dar lez lbe kum nog lez rut agx tab tkr ava ddo akv tkr kva cji kpt ani bbl huz kap tin khv aqc gin gdo bph	86
67	67	6512190.21140651	4740749.37376003	12	2	1	3.13703703703704	rus-ru kaz-kz rus-kz uzn-uz bak-ru tuk-tm mhr-ru kaa-uz kaz-uz myv-ru uzn-tm	rus kaz rus uzn bak tuk mhr kaa kaz myv uzn	58
68	68	7514065.62854597	4740749.37376003	4	1	1	0.85	kaz-kz rus-kz kir-kg uzn-uz	kaz rus kir uzn	69
69	69	8515941.04568544	4740749.37376003	11	2	1	5.97037037037037	rus-ru kaz-kz rus-kz uig-cn xal-cn kaz-cn kir-kg uig-kz rus-kg sjo-cn dng-kg dng-kz	rus kaz rus uig xal kaz kir uig rus sjo dng dng	82
70	70	9517816.4628249	4740749.37376003	20	5	1	9.71396011396011	rus-ru cmn-cn kaz-kz rus-kz uig-cn xal-cn kaz-cn alt-ru kaz-mn kjh-ru dta-cn cjs-ru atv-ru slr-cn sjo-cn clw-ru uzn-cn tat-cn tyv-cn rus-cn	rus cmn kaz rus uig xal kaz alt kaz kjh dta cjs atv slr sjo clw uzn tat tyv rus	80
71	71	10519691.8799644	4740749.37376003	19	5	1	8.87348392348392	rus-ru cmn-cn khk-mn mvf-cn uig-cn kaz-cn xal-mn mvf-mn tyv-ru kaz-mn kjh-ru drh-mn tyv-mn uig-mn kim-ru cmn-mn uzn-cn tat-cn tyv-cn	rus cmn khk mvf uig kaz xal mvf tyv kaz kjh drh tyv uig kim cmn uzn tat tyv	60
72	72	11521567.2971038	4740749.37376003	11	5	1	5.01322751322751	rus-ru khk-mn mvf-cn xal-mn bxr-ru bxm-mn mvf-mn drh-mn tyv-mn khk-ru evn-mn	rus khk mvf xal bxr bxm mvf drh tyv khk evn	100
73	73	12523442.7142433	4740749.37376003	11	5	1	2.84015059015059	rus-ru cmn-cn khk-mn mvf-cn evn-ru cjy-cn bxr-ru bxm-mn mvf-mn bxu-cn dta-cn	rus cmn khk mvf evn cjy bxr bxm mvf bxu dta	95
74	74	13525318.1313827	4740749.37376003	14	5	1	4.95681725681726	rus-ru cmn-cn khk-mn mvf-cn evn-ru kor-cn bxm-mn mvf-mn bxu-cn mnc-cn orh-cn dta-cn evn-cn kjh-cn	rus cmn khk mvf evn kor bxm mvf bxu mnc orh dta evn kjh	132
75	75	14527193.5485222	4740749.37376003	9	5	0.95	2.98062678062678	rus-ru cmn-cn evn-ru kor-cn kor-kp mnc-cn orh-cn kor-ru gld-cn	rus cmn evn kor kor mnc orh kor gld	166
76	76	15529068.9656617	4740749.37376003	11	5	0.5	7.82037037037037	rus-ru evn-ru jpn-jp gld-ru niv-ru kor-ru neg-ru ulc-ru oac-ru ude-ru oaa-ru	rus evn jpn gld niv kor neg ulc oac ude oaa	151
77	77	16530944.3828011	4740749.37376003	1	4	0.02	0.2	jpn-jp	jpn	181.5
78	78	17532819.7999406	4740749.37376003	2	3	0.14	0.537037037037037	rus-ru yux-ru	rus yux	121
79	79	18534695.2170801	4740749.37376003	2	4	0.01	2	ale-ru mud-ru	ale mud	123
80	80	19536570.6342195	4740749.37376003	0	5	0	0	NA	NA	147
81	81	-19536570.6342195	3684959.99872797	0	NA	0	0	NA	NA	NA
82	82	-18534695.21708	3684959.99872797	0	NA	0	0	NA	NA	NA
83	83	-17532819.7999406	3684959.99872797	0	NA	0	0	NA	NA	NA
84	84	-16530944.3828011	3684959.99872797	0	NA	0	0	NA	NA	NA
85	85	-15529068.9656617	3684959.99872797	0	NA	0	0	NA	NA	NA
86	86	-14527193.5485222	3684959.99872797	0	7	0	0	NA	NA	NA
87	87	-13525318.1313827	3684959.99872797	23	5	0.4	19.6421568627451	eng-us shh-us pao-us acv-us was-us mnr-us hup-us csm-us yok-us yur-us mjd-us lui-us xaw-us peq-us wit-us poo-us nsq-us par-us lmw-us pom-us nmu-us pmw-us atw-us	eng shh pao acv was mnr hup csm yok yur mjd lui xaw peq wit poo nsq par lmw pom nmu pmw atw	84
88	88	-12523442.7142433	3684959.99872797	27	4	0.96	21.4850140056022	eng-us spa-mx spa-us nav-us ood-us ute-us apw-us shh-us pao-us yuf-us ood-mx hop-us zun-us dih-mx coc-mx mov-us klb-mx dih-us ppi-mx coc-us yaq-us mrc-us lui-us yum-us ser-us par-us chl-us	eng spa spa nav ood ute apw shh pao yuf ood hop zun dih coc mov klb dih ppi coc yaq mrc lui yum ser par chl	54
89	89	-11521567.2971038	3684959.99872797	14	9	1	9.90168067226891	eng-us spa-mx spa-us nav-us pdt-mx kjq-us apm-us apj-us kee-us tix-us tew-us twf-us apl-us tow-us	eng spa spa nav pdt kjq apm apj kee tix tew twf apl tow	66
90	90	-10519691.8799644	3684959.99872797	28	9	1	20.6421568627451	eng-us arp-us chr-us lou-us apm-us osa-us pot-us oma-us cho-us mus-us see-us cic-us sjw-us sac-us kic-us afs-us cku-us kio-us akz-us apk-us com-us paw-us wic-us ksk-us qua-us yuc-us cad-us frc-us	eng arp chr lou apm osa pot oma cho mus see cic sjw sac kic afs cku kio akz apk com paw wic ksk qua yuc cad frc	233
91	91	-9517816.46282489	3684959.99872797	5	9	1	1.80882352941176	eng-us chr-us cho-us mus-us gul-us	eng chr cho mus gul	283
92	92	-8515941.04568543	3684959.99872797	2	9	0.45	0.558823529411765	eng-us gul-us	eng gul	256
93	93	-7514065.62854596	3684959.99872797	1	12	6.31879166323493e-05	1	eng-bm	eng	229
94	94	-6512190.2114065	3684959.99872797	0	12	0	0	NA	NA	NA
95	95	-5510314.79426704	3684959.99872797	0	NA	0	0	NA	NA	NA
96	96	-4508439.37712758	3684959.99872797	0	NA	0	0	NA	NA	NA
97	97	-3506563.95998811	3684959.99872797	1	12	0.01	0.2	por-pt	por	NA
98	98	-2504688.54284865	3684959.99872797	1	10	0.01	0.2	por-pt	por	NA
99	99	-1502813.12570919	3684959.99872797	3	7	0.02	0.7	ary-ma por-pt shi-ma	ary por shi	132
100	100	-500937.708569728	3684959.99872797	20	8	0.84	12.7333333333333	aao-dz spa-es arq-dz tzm-ma ary-ma por-pt shi-ma cat-es ext-es kcy-dz tzm-dz rif-ma glg-pt mwl-pt fax-es aju-ma ext-pt rif-dz eng-gi spa-gi	aao spa arq tzm ary por shi cat ext kcy tzm rif glg mwl fax aju ext rif eng spa	163
101	101	500937.708569735	3684959.99872797	18	5	0.62	11.7833333333333	aao-dz spa-es arq-dz aeb-tn cat-es shy-dz kab-dz tzm-dz sro-it src-it cos-fr mzb-dz tjo-dz oua-dz sdn-it sdc-it cat-it cnu-dz	aao spa arq aeb cat shy kab tzm sro src cos mzb tjo oua sdn sdc cat cnu	46
102	102	1502813.1257092	3684959.99872797	16	6	0.38	10.4166666666667	aao-dz ayl-ly ita-it aeb-tn scn-it sro-it src-it cos-fr gha-ly jbn-ly jbn-tn sdn-it aae-it mlt-mt ell-it cos-it	aao ayl ita aeb scn sro src cos gha jbn jbn sdn aae mlt ell cos	36
103	103	2504688.54284866	3684959.99872797	27	7	0.39	19.7	ayl-ly tur-tr ita-it ell-gr bul-bg ayl-eg mkd-mk als-al aln-al pnt-gr mkd-gr aat-gr tur-bg aln-mk rup-gr mkd-bg tur-mk tur-gr rup-mk bgx-tr als-gr rup-al ruq-gr ruq-mk bul-gr ell-al tsd-gr	ayl tur ita ell bul ayl mkd als aln pnt mkd aat tur aln rup mkd tur tur rup bgx als rup ruq ruq bul ell tsd	153
104	104	3506563.95998812	3684959.99872797	29	6	0.56	20.1166666666667	tur-tr kmr-tr ell-gr ars-sy avl-eg avl-jo arz-eg ayl-eg apc-sy ajp-jo heb-il apc-lb avl-sy ell-cy ajp-ps tur-cy apc-tr avl-ps ady-tr ajp-il kbd-tr ell-eg ady-il lad-tr ell-tr acy-cy rmt-il	tur kmr ell ars avl avl arz ayl apc ajp heb apc avl ell ajp tur apc avl ady ajp kbd ell ady lad ell acy rmt	118
105	105	4508439.37712758	3684959.99872797	53	3	1	36.2	ars-sa tur-tr ars-iq kmr-tr azb-ir ars-sy azj-az acm-iq ayp-iq kat-ge avl-jo kmr-ir ars-jo kiu-tr apc-sy acm-sy ckb-iq hye-am ajp-jo kmr-iq apc-lb ayp-tr avl-sy ayp-sy hye-ir lzz-tr azj-ge acm-tr kmr-sy apc-tr hye-ge aii-ir azj-am lzz-ge kmr-am hac-iq azb-tr hye-sy ady-sy azb-iq ady-jo kat-tr cld-iq aii-iq aii-sy tru-tr diq-tr aii-tr abk-tr amw-sy tru-sy kqd-iq	ars tur ars kmr azb ars azj acm ayp kat avl kmr ars kiu apc acm ckb hye ajp kmr apc ayp avl ayp hye lzz azj acm kmr apc hye aii azj lzz kmr hac azb hye ady azb ady kat cld aii aii tru diq aii abk amw tru kqd	94
106	106	5510314.79426705	3684959.99872797	66	3	0.81	49	pes-ir ars-iq azb-ir tuk-tm azj-az acm-iq qxq-ir ayp-iq kat-ge sdh-ir ckb-ir afb-ir kmr-ir bqi-ir acm-ir ckb-iq hye-am mzn-ir luz-ir lrc-ir afb-kw sdh-iq lki-ir glk-ir ars-kw kmr-az hye-ir lez-ru ttt-az azj-ge hye-az tly-az tly-ir lez-az afb-iq aii-ir rut-ru azj-am kmr-am tkr-ru kat-ir tkr-az kaz-ir klj-ir def-ir gzi-ir azb-iq ttt-ir avd-ir smy-ir lsa-ir ntz-ir xkp-ir vaf-ir kry-az sgr-ir udi-az srz-ir sqo-ir kat-az rut-az bdk-az kjj-az kjf-az jdt-az bhn-ge	pes ars azb tuk azj acm qxq ayp kat sdh ckb afb kmr bqi acm ckb hye mzn luz lrc afb sdh lki glk ars kmr hye lez ttt azj hye tly tly lez afb aii rut azj kmr tkr kat tkr kaz klj def gzi azb ttt avd smy lsa ntz xkp vaf kry sgr udi srz sqo kat rut bdk kjj kjf jdt bhn	88
107	107	6512190.21140651	3684959.99872797	22	1	0.99	13.1166666666667	pes-ir pbt-af uzn-uz prs-af azb-ir tuk-tm bgn-ir bgn-af afb-ir kmr-ir mzn-ir tuk-ir kaa-uz tuk-af pbt-ir gbz-ir haz-ir bgn-tm kaz-ir phv-af kmr-tm mhj-af	pes pbt uzn prs azb tuk bgn bgn afb kmr mzn tuk kaa tuk pbt gbz haz bgn kaz phv kmr mhj	49
108	108	7514065.62854597	3684959.99872797	77	3	1	60.8666666666667	pbt-af kir-kg uzn-uz prs-af tuk-tm tgk-tj haz-af pnb-pk brh-pk uzs-af skr-pk pbt-pk bgp-pk bgn-af pbu-pk pst-pk aiq-af hnd-pk kaa-uz uzn-tj tuk-af kir-tj brh-af kaz-uz tgk-uz sgh-tj bsh-af khw-pk xhe-pk drw-af wbl-af gju-pk glh-af sgh-af mnj-af wbk-af wne-pk ask-af prn-af tnf-af psi-af gwc-pk yah-tj pbt-tj prc-af auz-uz sgl-tj oru-pk sgl-af aee-af phl-pk psh-af nli-af kls-pk yai-tj crh-uz abh-tj wrd-af paq-af paq-tj bhh-uz gwt-pk trm-af ydg-pk abh-af dml-pk gwt-af bsh-pk uzn-tm xvi-af sts-af haz-pk sdg-af xvi-pk oru-af	pbt kir uzn prs tuk tgk haz pnb brh uzs skr pbt bgp bgn pbu pst aiq hnd kaa uzn tuk kir brh kaz tgk sgh bsh khw xhe drw wbl gju glh sgh mnj wbk wne ask prn tnf psi gwc yah pbt prc auz sgl oru sgl aee phl psh nli kls yai crh abh wrd paq paq bhh gwt trm ydg abh dml gwt bsh uzn xvi sts haz sdg xvi oru	63
109	109	8515941.04568544	3684959.99872797	85	4	1	70.4269230769231	cmn-cn uig-cn bod-cn hin-in kir-kg uzn-uz tgk-tj pnb-pk kir-cn skr-pk pan-in nep-np pbu-pk bgc-in gbm-in hnd-pk kas-in bgq-in lbj-in kir-tj phr-pk dgo-in kfy-in scl-pk sgh-tj khw-pk bfz-in prx-in kfx-in wbl-pk kfk-in hno-pk wbl-af bft-pk bhd-in gju-pk mjl-in kir-af wbl-tj lbf-in gbk-in jns-in gju-in cdj-in zau-in bsk-pk uzn-cn plk-pk mvy-pk wbl-cn pgg-in cdh-in kfs-in scl-in bht-in bkk-in cna-in lbf-cn nes-in gwc-pk trw-pk lae-in srh-cn jna-in cik-in aib-cn cdn-in bee-np ssk-in tpq-in bfu-in jnl-np btv-pk xns-in jnl-in scu-in mjz-in drd-in drd-np kas-pk ush-pk clh-pk dmk-pk gwf-pk bdz-pk xka-pk	cmn uig bod hin kir uzn tgk pnb kir skr pan nep pbu bgc gbm hnd kas bgq lbj kir phr dgo kfy scl sgh khw bfz prx kfx wbl kfk hno wbl bft bhd gju mjl kir wbl lbf gbk jns gju cdj zau bsk uzn plk mvy wbl pgg cdh kfs scl bht bkk cna lbf nes gwc trw lae srh jna cik aib cdn bee ssk tpq bfu jnl btv xns jnl scu mjz drd drd kas ush clh dmk gwf bdz xka	59
110	110	9517816.4628249	3684959.99872797	7	5	1	2.92692307692308	cmn-cn khg-cn uig-cn bod-cn nep-np pcr-cn hut-np	cmn khg uig bod nep pcr hut	18
