ID_ISO_A3	ID_ISO_A2	ID_FIPS	NAM_LABEL	NAME_PROP	NAME2	NAM_ANSI	ISO639P3code	ID	Name	Macroarea	Latitude	Longitude	glottocode	Countries	Family_ID	Language_level_ID	aes	category	classification	level	med	subclassification	Also spoken in	Alternate Names	Autonym	Classification	Country	Dialects	Language Development	Language Maps	Language Resources	Language Status	Language Use	Location	Other Comments	Population	Population Numeric	Typology	Writing	name
trf-TTO	trf-tt	trf-TD	Trinidadian Creole English	Trinidadian Creole English	TRINIDADIAN CREOLE ENGLISH	Trinidadian Creole English	trf	trin1276	Trinidadian Creole English	North America	10.4208	-61.4171	trin1276	TT	indo1319	NA	not endangered	Spoken_L1_Language	indo1319/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/guin1259/cari1284/east2759/barb1266/barb1267	language	grammar	trin1276:1	NA	NA	NA	Creole, English based, Atlantic, Eastern, Southern	Trinidad and Tobago	NA	Dictionary. Grammar.	Creole Languages of the Eastern Caribbean	OLAC resources in and about Trinidadian Creole English	6a (Vigorous). De facto language of national identity.	Urban, some rural speakers’ speech may be more similar to Tobagonian Creole. Used as L2 by Sarnami Hindustani [hns].	Trinidad.	NA	1,000,000 (2011 J. Ferreira).	1000000	NA	NA	Trinidadian Creole English
bzj-BLZ	bzj-bz	bzj-BH	Belize Kriol English	Belize Kriol English	BELIZE KRIOL ENGLISH	Belize Kriol English	bzj	beli1260	Belize Kriol English	North America	17.3941	-88.6281	beli1260	BZ;US	indo1319	NA	shifting	Spoken_L1_Language	indo1319/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/guin1259/cari1284/west2854/misk1243/beli1261	language	long grammar	beli1260:1	NA	Miskito Coast Creole English, Western Caribbean Creole	Kriol	Creole, English based, Atlantic, Western	Belize	None known. Reportedly similar to Nicaragua Creole English [bzk] and Islander (San Andrés) [icr] creoles. Historically an extension of Nicaragua Creole English. There is a spectrum of varieties from standard American English usage to creole.	Newspapers. Radio. TV. Dictionary. Grammar. NT: 2012.	Belize	OLAC resources in and about Belize Kriol English	3 (Wider communication). Lingua franca in much of the country.	Creoles, people of East Indian descent. Most domains. Positive attitudes. Used as L2 by Garifuna [cab], Plautdietsch [pdt].	Widespread, including communities on Ambergris and Caulker cayes.	NA	130,000 (2014 UNSD). Total users in all countries: 170,000.	170000	NA	Latin script [Latn].	Belize Kriol English
kea-CPV	kea-cv	kea-CV	Kabuverdianu	Kabuverdianu	KABUVERDIANU	Kabuverdianu	kea	kabu1256	Kabuverdianu	Africa	15.0586	-23.6148	kabu1256	CV	indo1319	NA	not endangered	Spoken_L1_Language	indo1319/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183/west2838/gali1263/macr1272/uppe1458	language	long grammar	(barl1241:1,kabu1257:1,sota1243:1)kabu1256:1	{u'View other languages of Portugal': {}}	Caboverdiano, Criol, Kriol, Krioulo, Krioulu, “Badiu” (pej.), “Sampadjudu” (pej.)	Crioulo, Kabuverdianu	Creole, Portuguese based	Cape Verde Islands	Kabuverdianu Sotavento (Caboverdiano-Sotavento, Kabuverdianu-Sotaventu), Kabuverdianu Barlavento (Caboverdiano-Barlavento, Kabuverdianu-Barlavente). Low mutual intelligibility between the dialects.	Literacy rate in L2: 29% in Portuguese [por]. Cape Verdeans who can read Portuguese [por] are able to read Kabuverdianu, with a little effort to adjust to a few differences between the Portuguese orthography and the official Kabuverdianu orthography. Taught in primary and secondary schools. Literature. Newspapers. Periodicals. Radio. TV. Videos. Dictionary. Grammar. Texts. Bible portions: 1936–2009.	NA	OLAC resources in and about Kabuverdianu	4 (Educational). Statutory language of national identity (1992, Constitution, Article 9(2)), not co-equal with Portuguese.	Vigorous. All domains. All ages. Positive attitudes.	Boa Vista, Sal, Santo Antão, São Nicolau, and São Vicente islands (Kabuverdianu-Barlavente dialect); Brava, Fogo, Maio, and Santiago islands (Kabuverdianu-Sotaventu dialect).	“Badiu” is a somewhat pejorative name for the indigenous inhabitants of the southern island of Santiago, often used by extension as the name for the variant of Kabuverdianu-Sotaventu spoken on this island. “Sanpadjudu” is a somewhat pejorative name for the indigenous inhabitants of the northern island of Santo Antão, often used by extension as the name for the variant of Kabeverdiane-Barlavente spoken on this island). Christian.	492,000 (2010 census), increasing. 325,000 Kabuverdianu-Sotaventu, 167,000 Kabuverdianu-Barlavente. 80,000 monolinguals. Ethnic population: 1,000,000. Total users in all countries: 733,730.	733730	NA	Latin script [Latn].	Kabuverdianu
djk-SUR	djk-sr	djk-NS	Aukan	Aukan	AUKAN	Aukan	djk	ndyu1242	Aukan	South America	4.3126	-54.6419	ndyu1242	GF;SR	indo1319	NA	not endangered	Spoken_L1_Language	indo1319/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/guin1259/suri1275/sran1241/suri1272	language	long grammar	(aluk1239:1,para1317:1)ndyu1242:1	{u'View other languages of French Guiana': {}}	Aukaans, Businenge Tongo, Businengee Tongo, Eastern Maroon Creole, Ndjuká, Ndyuka, Nenge, Nenge Tongo, Nengee Tongo, Njuká, Okanisi, “Djoeka” (pej.), “Djuka” (pej.)	NA	Creole, English based, Atlantic, Suriname, Ndyuka	Suriname	Aluku (Aloekoe, Boni), Paramaccan (Pamaka). Ndyuka, Aluku and Paramaccan are highly mutually intelligible dialects; Kwinti [kww] is slightly less intelligible with them.	Literacy rate in L1: Below 10%. Literacy rate in L2: 15%–25%. Literature. Radio. Dictionary. Grammar. Texts. NT: 1999–2009.	French Guiana and Suriname	OLAC resources in and about Aukan	5 (Developing).	Vigorous. In Paramaribo some shifted to Dutch [nld], some younger ones to Sranan [srn]. All domains. Also in oral and written form for religious services. Positive attitudes. Most also use Sranan [srn], especially men. Many also use Dutch [nld].	Brokopondo district: Sarakreek commune; Commewijne district: Bakkie, Meerzog, and Tamanredjo communes; Marowijne district: Moengo, Patamacca, and Wanhatti communes; Para district: Carolina commune; Sipaliwini district: Tapanahony commune; Aluku dialect: French Guiana border; Paramaccan dialect: Northeast.	The society was formed by escaped slaves. Subsistence and economy is Amerindian; social culture and religion are West African. Aluku has more French influence than Paramaccan does. Spelling of Ndyuka without the initial nasal is considered derogatory. Aukan is English, Aukaans is Dutch. In early 1900s an Aukaner named Afaka developed a syllabic writing system, but few learned to read it, and it was not officially endorsed. 12 clans. In the 1980s and 1990s many went to Paramaribo. Traditional religion, Christian.	21,700 (2013). 1,550 monolinguals. Total users in all countries: 39,700.	39700	SVO; prepositions, noun head final, content q-word initial, up to 2 suffixes, clause constituents indicated by word order, passives and voice, tonal, 25 consonant (some rare) and 14 vowel (5 long monophthongs, 5 short monophthongs, 4 diphthongs) phonemes.	Afaka script [Afak], developed in early 1900s, never widely used, may be in use by a few individuals. Latin script [Latn], primary usage.	Aukan
bew-IDN	bew-id	bew-ID	Betawi	Betawi	BETAWI	Betawi	bew	beta1252	Betawi	Papunesia	-6.21174	107.022	beta1252	ID	aust1307	NA	threatened	Spoken_L1_Language	aust1307/mala1545/mala1536/nort3170/mala1538/nucl1733/beta1260	language	long grammar	beta1252:1	NA	Batavi, Batawi, Betawi Malay, Jakarta Malay, Melayu Betawi, Melayu Jakarte	NA	Creole, Malay based	Indonesia	None known. A Malay-based creole distinct from both Indonesian [ind] and other Malay-based pidgins and creoles. It evolved mid-19th century. Unique phonological, morphological, and lexical traits. Influences from Peranakan Indonesian [pea] and Bali [ban]. Often not intelligible to Indonesian speakers not familiar with it (1989 R. Allen).	Radio. TV. Videos. Grammar.	Indonesia, Java and Bali	OLAC resources in and about Betawi	6b (Threatened).	Functions as a Low variety in a diglossic situation, but has covert prestige when used by the upper class.	Banten province: Tangerang recency and city; dominant in Jakarta Special Capital Region; Jawa Barat province: Bekasi, Bogar, and Karawang regencies, also Bekasi and Depok cities.	Muslim.	5,000,000 (2000 census). Population count imprecise due to vague ethnic and linguistic definition of ‘Betawi’. Ethnic population: 6,800,000 (2011 census).	5000000	NA	Latin script [Latn].	Betawi
bbz-TCD	bbz-td	bbz-CD	Babalia Creole Arabic	Arabic, Babalia Creole	ARABIC, BABALIA CREOLE	Arabic, Babalia Creole	bbz	baba1273	Babalia Creole Arabic	Africa	12.7617	16.6925	baba1273	TD	book1242	NA	shifting	Bookkeeping	book1242	language	phonology/text	baba1273:1	NA	Babalia, Babaliya, Bubalia	NA	Creole, Arabic based	Chad	None known. A creole developed from Chadian Arabic [shu] (90% of the vocabulary) and Berakou [bxv] (Decobert 1977). Babalia shares structural similarities with Juba Arabic [pga]. A member of macrolanguage Arabic [ara].	NA	Southwestern Chad	OLAC resources in and about Arabic, Babalia Creole	8b (Nearly extinct).	NA	Hadjer-Lamis region: N’Djamena department, 23 villages north of Djermaya and between Karal and Tourba.	Original language Berakou [bxv]. Muslim.	3,940 (1993 census).	3940	NA	NA	Arabic, Babalia Creole
rcf-REU	rcf-re	rcf-RE	Reunion Creole French	Reunion Creole French	REUNION CREOLE FRENCH	Réunion Creole French	rcf	reun1238	Réunion Creole French	Africa	-21.1131	55.5321	reun1238	RE	indo1319	NA	not endangered	Spoken_L1_Language	indo1319/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/nort3208/gall1280/oila1234/cent2283/macr1273	language	long grammar	reun1238:1	NA	NA	NA	Creole, French based	Réunion	NA	Grammar.	NA	OLAC resources in and about Réunion Creole French	6a (Vigorous).	25% are white, poor, live in the mountainous interior, and speak archaic highland varieties. 25% are Indian, live in coastal lowlands, and speak the basilect. 45% are African or mixed race, live in coastal lowlands, and speak the basilect. Positive attitudes, which are increasing. Also use French [fra].	NA	NA	450,000 (2009).	450000	NA	Latin script [Latn].	Réunion Creole French
ccd-BRA	ccd-br	ccd-BR	Cafundo Creole	Cafundo Creole	CAFUNDO CREOLE	Cafundo Creole	ccd	cafu1238	Cafundo	South America	-23.0448	-43.6455	cafu1238	BR	indo1319	NA	nearly extinct	Spoken_L1_Language	indo1319/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183/west2838/gali1263/macr1272/braz1247	language	Wordlist or less	cafu1238:1	NA	NA	NA	Creole, Portuguese based	Brazil	NA	NA	Southern Brazil	OLAC resources in and about Cafundo Creole	8b (Nearly extinct).	Also use Portuguese [por], fluently.	Rio de Janeiro state: Cafundo, 240 km from São Paulo.	Bantu lexicon in Portuguese [por] morphological and syntactic framework. The creole is considered a secret language.	40 (1978 M. Gnerre).	40	NA	NA	Cafundo Creole
lou-USA	lou-us	lou-US	Louisiana Creole French	Louisiana Creole French	LOUISIANA CREOLE FRENCH	Louisiana Creole French	lou	loui1240	Louisiana Creole French	North America	30.0412	-90.7475	loui1240	US	indo1319	NA	moribund	Spoken_L1_Language	indo1319/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/nort3208/gall1280/oila1234/cent2283/macr1273/circ1240	language	long grammar	loui1240:1	NA	Kréyol, Louisiana Creole French	NA	Creole, French based	United States	Bayou Teche Creole (Kourí-viní), Pointe Coupée Creole (Gombó). Different from standard French [fra], Cajun French [frc] (also spoken in Louisiana), Haitian Creole [hat], and other creoles of the Caribbean.	Dictionary. Grammar. Texts.	Southeastern United States of America	OLAC resources in and about Louisiana Creole	7 (Shifting).	Those over 60 prefer Creole, and those under 30 prefer English [eng]. Several linguistic reclamation projects online (2014 C. Landry). Mainly older adults. All also use English [eng] (Neumann-Holzschuh and Klingler 2013).	California: Sacramento; Louisiana: Iberia, Lafayette, Lafourche, Natchitoches, Pointe-Coupée, St. Charles, St. James, St. John the Baptist, St. Landry, St. Martin, St. Mary, and St. Tammany parishes; Texas: east.	NA	10,000 (Neumann-Holzschuh and Klingler 2013). Ethnic population: 4,000,000 (1997 M. Melançon).	10000	NA	Unwritten [Qaax].	Louisiana Creole
mfe-MUS	mfe-mu	mfe-MP	Morisyen	Morisyen	MORISYEN	Morisyen	mfe	mori1278	Morisyen	Africa	-20.2613	57.5517	mori1278	MU	indo1319	NA	not endangered	Spoken_L1_Language	indo1319/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/nort3208/gall1280/oila1234/cent2283/macr1273/isle1246	language	long grammar	mori1278:1	NA	Kreol, Kreole, Maurisyen, Mauritian, Mauritian Creole, Mauritius Creole French, Maurysen	NA	Creole, French based	Mauritius	Rodrigues Creole. More similar to French creoles of the Caribbean than to Réunion Creole (Baker 1972).	Dictionary. Grammar. NT: 2010.	NA	OLAC resources in and about Morisyen	5 (Developing). De facto language of national identity.	Neutral attitudes. Lower prestige than French [fra] or English [eng]. Also use French [fra].	NA	NA	1,090,000 (2012 UNSD). Total users in all countries: 1,335,000 (as L1: 1,135,000; as L2: 200,000).	1135000	NA	Latin script [Latn].	Morisyen
cbk-PHL	cbk-ph	cbk-RP	Chavacano	Chavacano	CHAVACANO	Chavacano	cbk	chav1241	Chavacano	Papunesia	7.435034	122.18849	chav1241	PH	indo1319	NA	not endangered	Spoken_L1_Language	indo1319/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183/west2838/cast1243/sout3200/tern1253	language	long grammar	(cavi1254:1,coto1252:1,dava1249:1,ermi1239:1,zamb1243:1)chav1241:1	NA	Chabacano, Chabakano, Zamboangueño	NA	Creole, Spanish based	Philippines	Caviteño (Cavite Chabacano), Ternateño (Bahra, Ternate Chabacano, Ternateño Chavacano), Ermitaño (Ermiteño), Davaweño Zamboangueño (Abakay Spanish, Davao Chavacano, Davaoeño, Davaweño), Cotabato Chavacano (Cotabateño), Zamboangueño (Chabacano de Zamboanga, Español quebrao, Southern Mindinao Creole, Zamboanga Chabacano).	Literacy rate in L1: 80%. Literacy rate in L2: 80%. Taught in primary schools. Literature. Radio. TV. Videos. Dictionary. Grammar. NT: 1981.	Southern Philippines	OLAC resources in and about Chavacano	4 (Educational).	Davaweño Zamboangueño dialect may have no remaining speakers. Ermiteño is extinct; Zamboangueño, Caviteño, and Cotabateño are still used. Most domains. All ages. Positive attitudes. Most also use Filipino [fil]. Also use Cebuano [ceb], Tausug [tsg]. Used as L2 by Balangingih Sama [sse], Central Sama [sml], Yakan [yka].	Autonomous Region in Muslim Mindinao: Basilan province; Zamboanga Peninsula region: Zamboanga del Norte, Zamboanga del Sur, and Zamboanga Sibugay provinces; scattered in Alicia, Buug, Cotabato city, Ipil, Isabela, Kabasalan, Lamitan, Lapuyan, Malamawi, Malangas, Maluso, Margosatubig, Siay, and Tungawan; Cavite, Ermita, and Ternate near Manila.	A creole with predominantly Spanish vocabulary and Philippine-type grammatical structure. Speakers in 60 of 66 provinces (1970 census). Christian.	1,200,000 (Quilis 1996). 300,000 Zamboangueño (Steinkrüger 2013), 359,000 Zamboangueño (Rubino 2008); 4,000 Caviteño; 3,000 Ternateño (Lesho and Sippola 2013); 5,470 Cotabato Chavacano (Wurm and Hattori 1981).	1200000	Accusative actancy structure.	Braille script [Brai]. Latin script [Latn], primary usage.	Chavacano
